phrase_example,normalized_phrase,proposed_abbreviation,word_count,frequency,examples
Автоматизированная система мониторинга событий,автоматизированный система мониторинг событие,АСМС,4,4,Автоматизированная система мониторинга событий фиксирует действия пользователей и сохраняет журнал инцидентов. || Автоматизированная система мониторинга событий используется в модуле аудита. || При тестировании автоматизированная система мониторинга событий показала устойчивую работу.
Распределённая база пользовательских профилей,распределённый база пользовательский профиль,РБПП,4,4,"Распределённая база пользовательских профилей синхронизируется между узлами. || Позднее распределённая база пользовательских профилей используется для персонализации интерфейса. || Если распределённая база пользовательских профилей упоминается многократно, для неё также можно рекомендовать сокращение."
Автоматизированная система мониторинга,автоматизированный система мониторинг,АСМ,3,4,Автоматизированная система мониторинга событий фиксирует действия пользователей и сохраняет журнал инцидентов. || Автоматизированная система мониторинга событий используется в модуле аудита. || При тестировании автоматизированная система мониторинга событий показала устойчивую работу.
база пользовательских профилей,база пользовательский профиль,БПП,3,4,"Распределённая база пользовательских профилей синхронизируется между узлами. || Позднее распределённая база пользовательских профилей используется для персонализации интерфейса. || Если распределённая база пользовательских профилей упоминается многократно, для неё также можно рекомендовать сокращение."
система мониторинга событий,система мониторинг событие,СМС,3,4,Автоматизированная система мониторинга событий фиксирует действия пользователей и сохраняет журнал инцидентов. || Автоматизированная система мониторинга событий используется в модуле аудита. || При тестировании автоматизированная система мониторинга событий показала устойчивую работу.
Автоматизированная система,автоматизированный система,АС,2,4,Автоматизированная система мониторинга событий фиксирует действия пользователей и сохраняет журнал инцидентов. || Автоматизированная система мониторинга событий используется в модуле аудита. || При тестировании автоматизированная система мониторинга событий показала устойчивую работу.
Распределённая база,распределённый база,РБ,2,4,"Распределённая база пользовательских профилей синхронизируется между узлами. || Позднее распределённая база пользовательских профилей используется для персонализации интерфейса. || Если распределённая база пользовательских профилей упоминается многократно, для неё также можно рекомендовать сокращение."
мониторинга событий,мониторинг событие,МС,2,4,Автоматизированная система мониторинга событий фиксирует действия пользователей и сохраняет журнал инцидентов. || Автоматизированная система мониторинга событий используется в модуле аудита. || При тестировании автоматизированная система мониторинга событий показала устойчивую работу.
пользовательских профилей,пользовательский профиль,ПП,2,4,"Распределённая база пользовательских профилей синхронизируется между узлами. || Позднее распределённая база пользовательских профилей используется для персонализации интерфейса. || Если распределённая база пользовательских профилей упоминается многократно, для неё также можно рекомендовать сокращение."
система мониторинга,система мониторинг,СМ,2,4,Автоматизированная система мониторинга событий фиксирует действия пользователей и сохраняет журнал инцидентов. || Автоматизированная система мониторинга событий используется в модуле аудита. || При тестировании автоматизированная система мониторинга событий показала устойчивую работу.
Модуль анализа текстовых документов,модуль анализ текстовый документ,МАТД,4,3,Модуль анализа текстовых документов выделяет устойчивые словоформы и сопоставляет их с уже известными аббревиатурами. || В отчёте модуль анализа текстовых документов должен быть отмечен как кандидат на сокращение. || модуль анализа текстовых документов
анализа текстовых документов,анализ текстовый документ,АТД,3,3,Модуль анализа текстовых документов выделяет устойчивые словоформы и сопоставляет их с уже известными аббревиатурами. || В отчёте модуль анализа текстовых документов должен быть отмечен как кандидат на сокращение. || модуль анализа текстовых документов
Модуль анализа,модуль анализ,МА,2,3,Модуль анализа текстовых документов выделяет устойчивые словоформы и сопоставляет их с уже известными аббревиатурами. || В отчёте модуль анализа текстовых документов должен быть отмечен как кандидат на сокращение. || модуль анализа текстовых документов
текстовых документов,текстовый документ,ТД,2,3,Модуль анализа текстовых документов выделяет устойчивые словоформы и сопоставляет их с уже известными аббревиатурами. || В отчёте модуль анализа текстовых документов должен быть отмечен как кандидат на сокращение. || модуль анализа текстовых документов
система управления доступом,система управление доступ,СУД,3,2,"В подсистеме контроля используется система управления доступом (СУД), которая разграничивает права операторов и администраторов. || СУД — система управления доступом"
центр обработки данных,центр обработка данные,ЦОД,3,2,Для хранения архивов применяется ЦОД (центр обработки данных). || ЦОД — центр обработки данных
Рабочая группа,рабочий группа,РГ,2,2,Рабочая группа анализирует результаты эксперимента. || Здесь сочетание рабочая группа встречается редко и не обязано становиться аббревиатурой.
Существующая аббревиатура,существующий аббревиатура,СА,2,2,Существующая аббревиатура || Существующая аббревиатура
обработки данных,обработка данные,ОД,2,2,Для хранения архивов применяется ЦОД (центр обработки данных). || ЦОД — центр обработки данных
система управления,система управление,СУ,2,2,"В подсистеме контроля используется система управления доступом (СУД), которая разграничивает права операторов и администраторов. || СУД — система управления доступом"
управления доступом,управление доступ,УД,2,2,"В подсистеме контроля используется система управления доступом (СУД), которая разграничивает права операторов и администраторов. || СУД — система управления доступом"
центр обработки,центр обработка,ЦО,2,2,Для хранения архивов применяется ЦОД (центр обработки данных). || ЦОД — центр обработки данных
Позднее распределённая база пользовательских профилей,поздний распределённый база пользовательский профиль,ПРБПП,5,1,Позднее распределённая база пользовательских профилей используется для персонализации интерфейса.
определения необходимости ввода новых сокращений,определение необходимость ввод новый сокращение,ОНВНС,5,1,"Этот документ предназначен для проверки трёх задач: распознавания словоформ, выделения уже введённых аббревиатур и определения необходимости ввода новых сокращений."
отчёте модуль анализа текстовых документов,отчёт модуль анализ текстовый документ,ОМАТД,5,1,В отчёте модуль анализа текстовых документов должен быть отмечен как кандидат на сокращение.
тестировании автоматизированная система мониторинга событий,тестирование автоматизированный система мониторинг событие,ТАСМС,5,1,При тестировании автоматизированная система мониторинга событий показала устойчивую работу.
Короткий термин журнал ошибок,короткий термин журнал ошибка,КТЖО,4,1,Короткий термин журнал ошибок встречается один раз и обычно не требует отдельной аббревиатуры.
СУД система управления доступом,суд система управление доступ,ССУД,4,1,СУД — система управления доступом
задач распознавания словоформ выделения,задача распознавание словоформа выделение,ЗРСВ,4,1,"Этот документ предназначен для проверки трёх задач: распознавания словоформ, выделения уже введённых аббревиатур и определения необходимости ввода новых сокращений."
необходимости ввода новых сокращений,необходимость ввод новый сокращение,НВНС,4,1,"Этот документ предназначен для проверки трёх задач: распознавания словоформ, выделения уже введённых аббревиатур и определения необходимости ввода новых сокращений."
система управления доступом СУД,система управление доступ суд,СУДС,4,1,"В подсистеме контроля используется система управления доступом (СУД), которая разграничивает права операторов и администраторов."
тестировании автоматизированная система мониторинга,тестирование автоматизированный система мониторинг,ТАСМ,4,1,При тестировании автоматизированная система мониторинга событий показала устойчивую работу.
Короткий термин журнал,короткий термин журнал,КТЖ,3,1,Короткий термин журнал ошибок встречается один раз и обычно не требует отдельной аббревиатуры.
Позднее распределённая база,поздний распределённый база,ПРБ,3,1,Позднее распределённая база пользовательских профилей используется для персонализации интерфейса.
СУД система управления,суд система управление,ССУ,3,1,СУД — система управления доступом
ввода новых сокращений,ввод новый сокращение,ВНС,3,1,"Этот документ предназначен для проверки трёх задач: распознавания словоформ, выделения уже введённых аббревиатур и определения необходимости ввода новых сокращений."
задач распознавания словоформ,задача распознавание словоформа,ЗРС,3,1,"Этот документ предназначен для проверки трёх задач: распознавания словоформ, выделения уже введённых аббревиатур и определения необходимости ввода новых сокращений."
объявления сокращения СУД,объявление сокращение суд,ОСС,3,1,После объявления сокращения СУД оно должно учитываться как уже введённое.
определения необходимости ввода,определение необходимость ввод,ОНВ,3,1,"Этот документ предназначен для проверки трёх задач: распознавания словоформ, выделения уже введённых аббревиатур и определения необходимости ввода новых сокращений."
отчёте модуль анализа,отчёт модуль анализ,ОМА,3,1,В отчёте модуль анализа текстовых документов должен быть отмечен как кандидат на сокращение.
последующих предложениях аббревиатура,последующий предложение аббревиатура,ППА,3,1,В последующих предложениях аббревиатура ЦОД повторяется без новой расшифровки.
проверки анализа сокращений,проверка анализ сокращение,ПАС,3,1,Тестовый документ для проверки анализа сокращений
распознавания словоформ выделения,распознавание словоформа выделение,РСВ,3,1,"Этот документ предназначен для проверки трёх задач: распознавания словоформ, выделения уже введённых аббревиатур и определения необходимости ввода новых сокращений."
сочетание рабочая группа,сочетание рабочий группа,СРГ,3,1,Здесь сочетание рабочая группа встречается редко и не обязано становиться аббревиатурой.
термин журнал ошибок,термин журнал ошибка,ТЖО,3,1,Короткий термин журнал ошибок встречается один раз и обычно не требует отдельной аббревиатуры.
тестировании автоматизированная система,тестирование автоматизированный система,ТАС,3,1,При тестировании автоматизированная система мониторинга событий показала устойчивую работу.
управления доступом СУД,управление доступ суд,УДС,3,1,"В подсистеме контроля используется система управления доступом (СУД), которая разграничивает права операторов и администраторов."
Дополнительный пример,дополнительный пример,ДП,2,1,"Дополнительный пример вынесен в сноску , чтобы проверить извлечение текста из footnotes.xml."
Короткий термин,короткий термин,КТ,2,1,Короткий термин журнал ошибок встречается один раз и обычно не требует отдельной аббревиатуры.
Ожидаемый пример,ожидать пример,ОП,2,1,Ожидаемый пример
Пограничные случаи,пограничный случай,ПС,2,1,3. Пограничные случаи
СУД система,суд система,СС,2,1,СУД — система управления доступом
Тестовый документ,тестовый документ,ТД,2,1,Тестовый документ для проверки анализа сокращений
Тип результата,тип результат,ТР,2,1,Тип результата
анализа сокращений,анализ сокращение,АС,2,1,Тестовый документ для проверки анализа сокращений
введённых аббревиатур,ввести аббревиатура,ВА,2,1,"Этот документ предназначен для проверки трёх задач: распознавания словоформ, выделения уже введённых аббревиатур и определения необходимости ввода новых сокращений."
действия пользователей,действие пользователь,ДП,2,1,Автоматизированная система мониторинга событий фиксирует действия пользователей и сохраняет журнал инцидентов.
доступом СУД,доступ суд,ДС,2,1,"В подсистеме контроля используется система управления доступом (СУД), которая разграничивает права операторов и администраторов."
журнал инцидентов,журнал инцидент,ЖИ,2,1,Автоматизированная система мониторинга событий фиксирует действия пользователей и сохраняет журнал инцидентов.
журнал ошибок,журнал ошибка,ЖО,2,1,Короткий термин журнал ошибок встречается один раз и обычно не требует отдельной аббревиатуры.
задач распознавания,задача распознавание,ЗР,2,1,"Этот документ предназначен для проверки трёх задач: распознавания словоформ, выделения уже введённых аббревиатур и определения необходимости ввода новых сокращений."
известными аббревиатурами,известный аббревиатура,ИА,2,1,Модуль анализа текстовых документов выделяет устойчивые словоформы и сопоставляет их с уже известными аббревиатурами.
извлечение текста,извлечение текст,ИТ,2,1,"Дополнительный пример вынесен в сноску , чтобы проверить извлечение текста из footnotes.xml."
модуле аудита,модуль аудит,МА,2,1,Автоматизированная система мониторинга событий используется в модуле аудита.
необходимости ввода,необходимость ввод,НВ,2,1,"Этот документ предназначен для проверки трёх задач: распознавания словоформ, выделения уже введённых аббревиатур и определения необходимости ввода новых сокращений."
новой расшифровки,новый расшифровка,НР,2,1,В последующих предложениях аббревиатура ЦОД повторяется без новой расшифровки.
новых сокращений,новый сокращение,НС,2,1,"Этот документ предназначен для проверки трёх задач: распознавания словоформ, выделения уже введённых аббревиатур и определения необходимости ввода новых сокращений."
объявления сокращения,объявление сокращение,ОС,2,1,После объявления сокращения СУД оно должно учитываться как уже введённое.
объявленные сокращения,объявить сокращение,ОС,2,1,1. Уже объявленные сокращения
один раз,один раз,ОР,2,1,Короткий термин журнал ошибок встречается один раз и обычно не требует отдельной аббревиатуры.
определения необходимости,определение необходимость,ОН,2,1,"Этот документ предназначен для проверки трёх задач: распознавания словоформ, выделения уже введённых аббревиатур и определения необходимости ввода новых сокращений."
отдельной аббревиатуры,отдельный аббревиатура,ОА,2,1,Короткий термин журнал ошибок встречается один раз и обычно не требует отдельной аббревиатуры.
отчёте модуль,отчёт модуль,ОМ,2,1,В отчёте модуль анализа текстовых документов должен быть отмечен как кандидат на сокращение.
персонализации интерфейса,персонализация интерфейс,ПИ,2,1,Позднее распределённая база пользовательских профилей используется для персонализации интерфейса.
подсистеме контроля,подсистема контроль,ПК,2,1,"В подсистеме контроля используется система управления доступом (СУД), которая разграничивает права операторов и администраторов."
последующих предложениях,последующий предложение,ПП,2,1,В последующих предложениях аббревиатура ЦОД повторяется без новой расшифровки.
права операторов,право оператор,ПО,2,1,"В подсистеме контроля используется система управления доступом (СУД), которая разграничивает права операторов и администраторов."
предложениях аббревиатура,предложение аббревиатура,ПА,2,1,В последующих предложениях аббревиатура ЦОД повторяется без новой расшифровки.
проверки анализа,проверка анализ,ПА,2,1,Тестовый документ для проверки анализа сокращений
распознавания словоформ,распознавание словоформа,РС,2,1,"Этот документ предназначен для проверки трёх задач: распознавания словоформ, выделения уже введённых аббревиатур и определения необходимости ввода новых сокращений."
результаты эксперимента,результат эксперимент,РЭ,2,1,Рабочая группа анализирует результаты эксперимента.
словоформ выделения,словоформа выделение,СВ,2,1,"Этот документ предназначен для проверки трёх задач: распознавания словоформ, выделения уже введённых аббревиатур и определения необходимости ввода новых сокращений."
сокращения СУД,сокращение суд,СС,2,1,После объявления сокращения СУД оно должно учитываться как уже введённое.
термин журнал,термин журнал,ТЖ,2,1,Короткий термин журнал ошибок встречается один раз и обычно не требует отдельной аббревиатуры.
устойчивую работу,устойчивый работа,УР,2,1,При тестировании автоматизированная система мониторинга событий показала устойчивую работу.
устойчивые словоформы,устойчивый словоформа,УС,2,1,Модуль анализа текстовых документов выделяет устойчивые словоформы и сопоставляет их с уже известными аббревиатурами.
хранения архивов,хранение архив,ХА,2,1,Для хранения архивов применяется ЦОД (центр обработки данных).
